topic_id,name,label
-1,-1_the_and_of_to,
0,0_ai_healthcare_medical_clinical,
1,1_blockchain_technology_the_and,
2,2_grid_energy_power_smart,
3,3_iot_security_edge_devices,
4,4_data_sharing_clinical_health,
5,5_cybersecurity_ai_threat_threats,
6,6_privacy_protection_data_gdpr,
7,7_iot_detection_intrusion_ids,
8,8_cities_smart_city_urban,
9,9_ai_ethics_ethical_artificial,
10,10_digital_transformation_13_digitalization,
11,11_computer_engineering_journal_science,
12,12_detection_intrusion_network_attacks,
13,13_open_sharing_research_evidence,
14,14_vehicles_vehicle_autonomous_transportation,
15,15_industry_manufacturing_industrial_i4,
16,16_fl_federated_learning_privacy,
17,17_big_data_analytics_healthcare,
18,18_education_ai_ethical_educational,
19,19_financial_fraud_credit_banking,
20,20_health_digital_apps_mental,
21,21_climate_un_change_security,
22,22_hr_recruitment_hrm_employee,
23,23_uavs_uav_aerial_unmanned,
24,24_fintech_financial_banking_payment,
25,25_chatgpt_llms_language_chat,
26,26_phishing_detection_email_urls,
27,27_covid_19_pandemic_health,
28,28_chatgpt_language_gpt_human,
29,29_cloud_computing_security_mcc,
30,30_cybersecurity_dark_side_human,
31,31_healthcare_iot_iomt_internet,
32,32_dt_twin_twins_digital,
33,33_customer_marketing_gai_ai,
34,34_sovereignty_digital_electoral_ukraine,
35,35_breach_breaches_data_cybersecurity,
36,36_agriculture_food_agricultural_farming,
37,37_malware_android_detection_obfuscated,
38,38_cybercrime_violence_her_chapter,
39,39_metaverse_reality_virtual_alcohol,
40,40_cybersecurity_training_education_awareness,
41,41_cybersecurity_dicom_healthcare_nhs,
42,42_llms_mental_language_models,
43,43_quantum_computing_cryptography_post,
44,44_privacy_data_anonymization_synthetic,
45,45_adversarial_deep_learning_gans,
46,46_fl_federated_learning_data,
47,47_xai_explainable_explanations_cybersecurity,
48,48_legal_ai_justice_judicial,
49,49_ethics_ethical_csr_leadership,
50,50_ransomware_ransom_victims_attacks,
51,51_6g_isac_sensing_communication,
52,52_biometric_authentication_recognition_facial,
53,53_security_cyber_network_attacks,
54,54_cyber_insurance_risk_incident,
55,55_risk_assessment_information_security,
56,56_maritime_physical_cyber_critical,
57,57_generative_genai_education_educational,
58,58_5g_ran_noma_wireless,
59,59_federated_fl_blockchain_learning,
60,60_energy_blockchain_trading_grid,
61,61_xai_explainable_explainability_mso,
62,62_trustworthy_trustworthiness_ai_trust,
63,63_chatgpt_were_health_chatbot,
64,64_forensics_forensic_digital_evidence,
65,65_chatgpt_education_students_educational,
66,66_iiot_industrial_things_iot,
67,67_ransomware_mml_detection_behavioral,
68,68_code_llms_language_models,
69,69_federated_learning_detection_ids,
70,70_learning_education_student_educational,
71,71_fairness_ieee_machine_attributes,
72,72_misinformation_media_disinformation_social,
73,73_marketing_consumer_satisfaction_commerce,
74,74_pandemic_covid_19_home,
75,75_cloud_computing_mayo_clinic,
76,76_data_ethics_science_culture,
77,77_threat_knowledge_attribution_graphs,
78,78_authors_predatory_journals_journal,
79,79_brain_neuroscience_sharing_data,
