journal,count
Zenodo (CERN European Organization for Nuclear Research),27
arXiv (Cornell University),19
Indian Journal of Information Sources and Services,8
Journal of Medical Internet Research,7
PLoS ONE,6
Information,6
International Journal of Digital Curation,5
IEEE Access,5
Scientific Data,4
Journal of the Association for Information Science and Technology,3
Data Science Journal,3
BMJ Open,3
Open Research Europe,3
Figshare,3
Faculty of 1000 Research Ltd,3
Journal of Systems and Software,3
Insights the UKSG journal,2
Publications,2
medRxiv,2
Patterns,2
